@relation 'Altura-de-ola-weka.filters.unsupervised.attribute.Remove-R11,16,17-weka.filters.unsupervised.attribute.Remove-R14-weka.filters.unsupervised.attribute.RemoveUseless-M50.0-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute air numeric
@attribute pres numeric
@attribute rhum numeric
@attribute uwnd numeric
@attribute vwnd numeric
@attribute WDIR numeric
@attribute WSPD numeric
@attribute GST numeric
@attribute DPD numeric
@attribute APD numeric
@attribute PRES numeric
@attribute ATMP numeric
@attribute WTMP numeric
@attribute class {Baja,Media,Moderada,MuyAlta}

@data
0.856286,0.753512,0.5,0.55332,0.494872,0.62117,0.22449,0.18677,0.425606,0.290363,0.743396,0.886228,0.80198,Baja
0.844311,0.733078,0.480769,0.490946,0.494872,0.668524,0.107143,0.085603,0.258131,0.272841,0.744654,0.904192,0.831683,Baja
0.886226,0.707535,0.538462,0.384306,0.484615,0.334262,0.096939,0.077821,0.37301,0.46433,0.720755,0.892216,0.841584,Baja
0.838323,0.699872,0.730769,0.392354,0.425641,0.270195,0.219388,0.194553,0.425606,0.439299,0.716981,0.892216,0.811881,Baja
0.874251,0.713921,0.576923,0.380282,0.346154,0.111421,0.219388,0.190661,0.37301,0.232791,0.725786,0.904192,0.821782,Baja
0.868263,0.736909,0.653846,0.404426,0.297436,0.036212,0.209184,0.182879,0.258131,0.292866,0.749686,0.916168,0.831683,Baja
0.844311,0.767561,0.788462,0.474849,0.274359,0.947075,0.173469,0.155642,0.290657,0.320401,0.768553,0.916168,0.831683,Baja
0.844311,0.804598,0.826923,0.535211,0.320513,0.924791,0.153061,0.132296,0.821453,0.345432,0.798742,0.916168,0.821782,Baja
0.88024,0.831418,0.788462,0.561368,0.341026,0.885794,0.147959,0.120623,0.229066,0.270338,0.822642,0.916168,0.821782,Baja
0.874251,0.849298,0.730769,0.541247,0.402564,0.818942,0.153061,0.128405,0.821453,0.35169,0.844025,0.94012,0.871287,Baja
0.874251,0.844189,0.653846,0.555332,0.484615,0.715877,0.153061,0.128405,0.821453,0.389237,0.841509,0.922156,0.871287,Baja
0.856286,0.842912,0.692308,0.535211,0.494872,0.679666,0.188776,0.159533,0.750865,0.36796,0.840252,0.904192,0.851485,Baja
0.8503,0.818646,0.826923,0.464789,0.576923,0.401114,0.107143,0.089494,0.821453,0.450563,0.822642,0.886228,0.851485,Baja
0.862277,0.793103,0.788462,0.414487,0.548718,0.395543,0.132653,0.116732,0.750865,0.135169,0.815094,0.88024,0.851485,Baja
0.8503,0.784163,0.826923,0.452716,0.392308,0.220056,0.255102,0.210117,0.160554,0.102628,0.802516,0.868263,0.851485,Baja
0.856286,0.809706,0.75,0.555332,0.341026,0.044568,0.22449,0.202335,0.229066,0.274093,0.816352,0.898204,0.841584,Baja
0.856286,0.825032,0.692308,0.486922,0.379487,0.924791,0.061224,0.050584,0.32872,0.289111,0.827673,0.916168,0.851485,Baja
0.916166,0.816092,0.634615,0.426559,0.576923,0.470752,0.127551,0.108949,0.32872,0.359199,0.822642,0.922156,0.891089,Baja
0.916166,0.758621,0.826923,0.45674,0.738462,0.395543,0.387755,0.36965,0.258131,0.12015,0.772327,0.88024,0.851485,Media
0.88024,0.690932,1,0.581489,0.741026,0.51532,0.27551,0.233463,0.20346,0.217772,0.693082,0.928144,0.841584,Media
0.982037,0.653895,0.846154,0.668008,0.641026,0.610028,0.382653,0.342412,0.229066,0.188986,0.644025,0.928144,0.841584,Baja
0.922157,0.652618,0.923077,0.738431,0.579487,0.685237,0.295918,0.252918,0.258131,0.244055,0.638994,0.922156,0.841584,Media
0.886226,0.685824,0.923077,0.726358,0.479487,0.754875,0.331633,0.311284,0.290657,0.301627,0.665409,0.94012,0.851485,Media
0.856286,0.698595,0.730769,0.688129,0.433333,0.75766,0.316327,0.272374,0.32872,0.259074,0.689308,0.916168,0.841584,Media
0.88024,0.711367,0.538462,0.641851,0.525641,0.632312,0.326531,0.299611,0.37301,0.332916,0.696855,0.91018,0.841584,Media
0.874251,0.696041,0.557692,0.661972,0.605128,0.62117,0.336735,0.299611,0.32872,0.249061,0.68805,0.916168,0.841584,Media
0.838323,0.685824,0.711538,0.702213,0.648718,0.635097,0.489796,0.424125,0.32872,0.310388,0.674214,0.886228,0.841584,Media
0.892217,0.690932,0.730769,0.72837,0.587179,0.654596,0.47449,0.420233,0.37301,0.292866,0.666667,0.91018,0.841584,Media
0.886226,0.708812,0.788462,0.706237,0.505128,0.738162,0.372449,0.342412,0.425606,0.381727,0.691824,0.91018,0.831683,Media
0.904192,0.726692,0.769231,0.702213,0.497436,0.743733,0.321429,0.280156,0.488581,0.352941,0.718239,0.928144,0.851485,Media
0.874251,0.736909,0.807692,0.653924,0.484615,0.713092,0.27551,0.241245,0.425606,0.405507,0.734591,0.91018,0.851485,Media
0.832336,0.744572,0.903846,0.629779,0.497436,0.643454,0.265306,0.249027,0.544637,0.435544,0.737107,0.898204,0.851485,Media
0.862277,0.756066,0.807692,0.653924,0.512821,0.721448,0.295918,0.256809,0.488581,0.392991,0.745912,0.862275,0.841584,Baja
0.922157,0.743295,0.673077,0.595573,0.628205,0.637883,0.326531,0.284047,0.488581,0.341677,0.735849,0.922156,0.861386,Baja
0.838323,0.693487,0.903846,0.577465,0.730769,0.51532,0.377551,0.33463,0.37301,0.275344,0.698113,0.916168,0.861386,Media
0.838323,0.627075,0.903846,0.527163,0.761538,0.45961,0.561224,0.513619,0.20346,0.229036,0.630189,0.868263,0.851485,Media
0.844311,0.559387,0.903846,0.54326,0.707692,0.473538,0.423469,0.365759,0.290657,0.307885,0.569811,0.88024,0.841584,Media
0.856286,0.517241,0.846154,0.573441,0.587179,0.454039,0.341837,0.307393,0.425606,0.356696,0.532075,0.91018,0.851485,Moderada
0.874251,0.498084,0.730769,0.625754,0.438461,0.640669,0.010204,0.015564,0.488581,0.473091,0.518239,0.88024,0.861386,Media
0.82036,0.498084,0.865385,0.676056,0.402564,0.818942,0.239796,0.202335,0.488581,0.503129,0.506918,0.868263,0.851485,Media
0.832336,0.514687,0.826923,0.680081,0.315385,0.805014,0.341837,0.311284,0.425606,0.429287,0.518239,0.892216,0.851485,Media
0.874251,0.544061,0.75,0.702213,0.341026,0.824513,0.382653,0.322957,0.425606,0.396746,0.52956,0.904192,0.861386,Media
0.862277,0.57599,0.730769,0.716298,0.382051,0.802228,0.484694,0.439689,0.425606,0.314143,0.56478,0.916168,0.851485,Media
0.844311,0.592593,0.769231,0.72837,0.433333,0.760446,0.433673,0.385214,0.425606,0.317897,0.579874,0.904192,0.851485,Media
0.868263,0.598978,0.75,0.668008,0.541026,0.707521,0.423469,0.361868,0.37301,0.285357,0.589937,0.898204,0.841584,Media
0.862277,0.581098,0.826923,0.617706,0.605128,0.629526,0.413265,0.365759,0.258131,0.274093,0.58239,0.88024,0.861386,Media
0.8503,0.541507,0.923077,0.501006,0.635898,0.498607,0.321429,0.272374,0.32872,0.282854,0.552201,0.850299,0.851485,Baja
0.856286,0.515964,0.942308,0.547284,0.464102,0.724234,0.204082,0.178988,0.258131,0.245307,0.52956,0.856287,0.861386,Baja
0.88024,0.553001,0.807692,0.633803,0.361538,0.626741,0.091837,0.077821,0.635294,0.345432,0.548428,0.898204,0.861386,Baja
0.928143,0.596424,0.653846,0.690141,0.394872,0.869081,0.285714,0.252918,0.258131,0.262829,0.569811,0.892216,0.861386,Baja
0.862277,0.637292,0.730769,0.684105,0.34359,0.810585,0.413265,0.350195,0.290657,0.232791,0.621384,0.904192,0.861386,Media
0.8503,0.666667,0.711538,0.736418,0.420513,0.799443,0.428571,0.361868,0.425606,0.321652,0.645283,0.886228,0.851485,Media
0.868263,0.680715,0.538462,0.700201,0.407692,0.785515,0.479592,0.416342,0.425606,0.230288,0.669182,0.886228,0.851485,Media
0.892217,0.719029,0.480769,0.700201,0.333333,0.807799,0.469388,0.428016,0.37301,0.306633,0.700629,0.91018,0.861386,Media
0.856286,0.761175,0.557692,0.686117,0.333333,0.835655,0.5,0.431907,0.290657,0.266583,0.742138,0.898204,0.851485,Media
0.82036,0.793103,0.557692,0.702213,0.397436,0.75766,0.443878,0.377432,0.37301,0.312891,0.772327,0.898204,0.851485,Media
0.856286,0.791826,0.538462,0.760564,0.446154,0.735376,0.484694,0.463035,0.32872,0.265332,0.773585,0.904192,0.841584,Media
0.892217,0.808429,0.519231,0.746479,0.482051,0.735376,0.52551,0.463035,0.290657,0.31164,0.78239,0.916168,0.851485,Media
0.844311,0.803321,0.634615,0.752515,0.469231,0.760446,0.454082,0.392996,0.37301,0.297872,0.783648,0.916168,0.841584,Media
0.844311,0.808429,0.692308,0.680081,0.512821,0.718663,0.44898,0.385214,0.290657,0.290363,0.787421,0.886228,0.831683,Media
0.898203,0.787995,0.769231,0.657948,0.574359,0.660167,0.352041,0.299611,0.37301,0.30413,0.783648,0.898204,0.821782,Media
