@relation 'Altura-de-ola-weka.filters.unsupervised.attribute.Remove-R11,16,17-weka.filters.unsupervised.attribute.Remove-R14-weka.filters.unsupervised.attribute.Remove-V-R2,4,5,7,8,9,10,11,12,14-weka.filters.unsupervised.attribute.Remove-R4'

@attribute pres numeric
@attribute uwnd numeric
@attribute vwnd numeric
@attribute GST numeric
@attribute DPD numeric
@attribute APD numeric
@attribute PRES numeric
@attribute ATMP numeric
@attribute class {Baja,Media,Moderada,MuyAlta}

@data
102050,6.199997,13.5,12.7,7.14,5.64,1018.6,15,Moderada
101920,5.100006,12.800003,15.2,7.14,5.64,1017.2,14.9,Moderada
101800,4.199997,12.900009,13.3,8.33,5.81,1016.8,15.1,Moderada
101520,5.5,11.699997,13.6,8.33,5.47,1013.2,15,Moderada
101490,7.5,6,8.9,9.09,6.06,1013.3,14.6,Media
101490,4.800003,-0.099991,5.5,9.09,6.31,1014.1,14,Baja
101520,4.699997,-3.300003,6,7.69,5.73,1014.8,14,Baja
101530,6.300003,-4.800003,6.6,8.33,5.59,1014.6,14.3,Baja
101600,7.800003,-4.699997,6.1,7.14,4.77,1014.8,14.4,Media
101680,10.300003,-2.300003,8.3,7.69,4.84,1015.1,14.3,Media
101800,10.699997,-1.899994,10,7.14,4.86,1016.4,14.6,Media
101850,8,-2.199997,6.2,5.88,5,1017.3,14.2,Baja
101950,6.400009,-2,6,6.25,4.76,1018.6,14.2,Baja
101970,5.699997,-0.699997,3.9,7.14,5.53,1019.1,14.4,Baja
102070,5.900009,2.400009,4.4,16,4.75,1019.9,13.9,Baja
102040,4.300003,2.300003,4.6,14.81,7.63,1020.1,13.6,Media
102050,0.199997,4.5,5,12.12,8.57,1020,13.2,Media
101970,-1.899994,5.900009,6.5,12.12,7.72,1019.6,13.9,Media
101870,-5.099991,6.300003,7.6,10.81,6.12,1019.4,14.2,Media
101730,-2.899994,5.900009,10.1,12.12,5.29,1018.2,13.8,Media
101810,3.199997,4.600006,5.6,10.81,5.99,1017.3,14.4,Media
101930,7.800003,1.600006,5.1,11.43,6.52,1018.2,14.2,Media
102130,9.699997,-2,8.7,10,5.76,1019.8,14.3,Media
102320,7.600006,-1.899994,5.7,10,6.03,1022,14.2,Media
102390,2.600006,0.199997,3.1,11.43,6.37,1023.5,14,Baja
102410,-2.399994,5.699997,6.6,6.67,6.19,1024.2,14,Baja
102270,-1.699997,9.600006,10,6.67,5.07,1023.2,14.6,Baja
102240,-0.199997,12.100006,8.3,5.56,4.9,1022.4,14.8,Media
102240,1.5,12,11.1,6.67,4.58,1021.5,14.8,Media
102190,1.100006,13.199997,12.6,8.33,5.72,1021.2,15,Media
102030,-0.899994,14.400009,11.6,8.33,5.4,1019.9,15.5,Moderada
101860,-0.699997,13.699997,11.4,8.33,5.96,1018.4,15.2,Moderada
101700,-0.800003,13.900009,12.7,9.09,5.97,1016.9,15,Moderada
101530,-0.199997,11.400009,11.9,10,6.79,1015.1,14.8,Moderada
101330,-2.699997,12.800003,11.2,10,6.3,1013.6,15.1,Moderada
101160,0.100006,11.5,13.5,10,5.67,1011.2,15.2,Moderada
101110,-1.599991,8.800003,12.5,9.09,6.06,1010.1,15.3,Media
101110,-0.899994,7.800003,8.2,10,5.98,1010.2,14.8,Media
100880,-1.199997,8.400009,10.6,9.09,5.87,1008.1,15.3,Media
100880,7.199997,8.5,9.5,12.12,5.84,1007.9,13.6,Moderada
100960,3.800003,6.5,8.3,12.9,7.3,1009,14.4,Moderada
101070,3.900009,4.400009,7.6,13.79,7.62,1009.7,14.4,Media
101180,2.199997,2.199997,5.9,13.79,7.09,1013.1,14.6,Moderada
101260,3.5,2.300003,5.8,12.9,8.45,1012.2,14.3,Media
101370,4.300003,-0.399994,5.9,12.12,7.41,1012.9,14.3,Media
101340,3.400009,0.199997,4.6,10.81,7.84,1013,14.3,Media
101340,2.900009,1.199997,1.9,7.14,6.56,1013,14.5,Media
101020,0,6.800003,5.5,9.09,7.12,1010.1,14.3,Media
100540,-3.199997,11.400009,9.5,7.69,5.17,1005.7,14.1,Media
99940,-4.599991,13.600006,14.1,5.56,5.19,1000,13.7,Moderada
99350,-4,11.400009,15.9,8.33,6.18,994.5,13.2,Moderada
98640,-3.800003,10.600006,8.9,8.33,6.64,988.4,14.2,Media
98010,-0.099991,13.300003,11.7,8.33,5.75,981.9,14.4,Moderada
97760,8.900009,8.600006,9.9,8.33,5.98,977,14.6,Media
98150,17.699997,6.100006,5.7,7.14,6.16,976.4,14.7,MuyAlta
98920,18.600006,7,18.3,11.43,6.59,985.1,12.7,MuyAlta
99700,17.300003,6.600006,17.1,9.09,7.58,992.6,13.6,MuyAlta
100240,11,9.600006,13.3,10,7.17,999.4,14,Moderada
100570,1.199997,6.900009,8.5,11.43,7.13,1004,14.1,Moderada
100340,-4.399994,-1.300003,6,10,7.64,1004,13.8,Media
100250,2.900009,-3.300003,1.2,7.69,6.71,1002.7,12,Media
100540,4.900009,-1.399994,4.6,10,7.05,1004.2,13.1,Media
100740,-0.699997,-0.399994,3.3,8.33,6.48,1006.6,13.5,Media
100430,-2.199997,-3.800003,3,8.33,7.18,1005.1,13.1,Media
99870,-0.300003,-9.5,8.8,8.33,6.44,1000.5,13.1,Media
99250,6,-13.199997,12.5,4.76,4.92,994.7,13.2,Media
99580,15.300003,-4.599991,13.3,6.25,5.28,993.2,13.1,Moderada
100020,7,1.699997,10.4,7.69,5.77,997.9,13.2,Media
100280,1.100006,3.800003,6.9,10,6.18,1002,13.2,Media
100410,-1.699997,2.5,4.6,8.33,6.37,1003.7,12.2,Media
100670,-0.599991,1.400009,1.7,6.67,6.05,1013.3,13.4,Media
100810,-3.300003,-1,3.7,6.67,6.23,1008.6,13.1,Baja
100850,-6.099991,-2.699997,5,7.14,6.05,1009.4,13.1,Baja
100820,-6.399994,-7.099991,7.9,6.67,5.13,1009.9,13.3,Baja
100680,-5.099991,-10.199997,9.8,3.85,4.3,1008,13.4,Media
100500,-4.300003,-14.5,11.7,5.56,4.3,1006.4,13.1,Media
100390,4.5,-14.599991,12.7,5.26,4.9,1004.4,12.9,Media
100390,5.199997,-14.099991,12.1,6.25,5.19,1004.5,12.8,Media
100510,6.800003,-11.5,10.9,6.67,5.11,1004.8,13.3,Media
100580,3.300003,-7.899994,8.5,6.67,5.21,1005.7,13.2,Media
100640,4.199997,-10.800003,7.1,6.25,5.48,1006.6,13.1,Media
100790,0.600006,-9.5,8,9.09,6.19,1008.4,14.4,Media
100930,-1.5,-9,7.5,12.12,6.04,1009.4,14.2,Media
100950,-2.800003,-4.899994,7.7,10,6.96,1010,13.8,Media
100790,0.600006,-3,5.2,11.43,6.79,1007.9,13.1,Media
100570,-2,0.800003,3.3,10,6.95,1005.5,13.4,Media
100290,-3.199997,6.699997,4.6,10.81,7.71,1003.4,13.4,Media
100100,0.600006,6.5,6.4,10,6.38,1001.7,13.3,Media
100020,3.300003,7,10.9,10,5.15,999,12.8,Media
99960,0.699997,9.900009,7.7,9.09,5.42,999.3,13.5,Media
99600,-1,9.900009,11.2,8.33,5.49,997.4,13.8,Moderada
99430,-0.599991,7.400009,11.2,8.33,6.48,995.7,13.2,Moderada
99320,2.5,6.699997,9.2,11.43,6.44,993.6,13,Moderada
99440,2.100006,2.300003,5.7,9.09,6.4,993.6,13.2,Media
99670,6,-4.099991,8.9,9.09,6.47,995.7,13,Media
100160,6.600006,-9.199997,11.9,8.33,5.3,1001,13.5,Media
100590,11.699997,-7.300003,11,8.33,5.21,1004.6,13.3,Media
100880,10.600006,-3.699997,10.7,8.33,5.45,1007,13.1,Media
101160,11.900009,-3.300003,10.7,8.33,5.76,1008.8,13.5,Moderada
101380,11.400009,-3.099991,15.7,8.33,5.96,1012.1,12.4,Moderada
101640,12.900009,-5.599991,14,10,6.52,1014,11.8,Moderada
101900,12,-5.699997,13.4,8.33,6.17,1016.4,12.4,Moderada
102110,11.900009,-8.300003,13,9.09,6.25,1019,12.4,Moderada
102240,3.900009,-6.199997,8.8,9.09,6.63,1021.4,11.7,Moderada
102280,0.100006,-4.899994,4.8,9.09,6.32,1023,11.4,Baja
102290,-8.300003,1.199997,5.6,8.33,6.1,1022.7,11.6,Baja
102130,-12.199997,4.199997,9.4,6.67,4.72,1022,12.2,Media
101680,-17.699997,1.300003,13.4,6.25,4.81,1019.2,11.8,Moderada
100640,-23.300003,3.600006,17.5,7.14,5.85,1012,11.9,MuyAlta
99330,-16.199997,8,23.1,10,7.82,998.6,11.4,MuyAlta
99070,-0.099991,18.400009,10.9,11.43,8.06,991.3,14,MuyAlta
98770,-2.800003,19.800003,12.5,10.81,8.4,988.2,13.7,MuyAlta
98190,2,20.300003,17.7,10.81,6.89,981.4,13.1,MuyAlta
98370,11.900009,11.900009,19.3,10.81,8.27,978.7,12.6,MuyAlta
99350,16.699997,0.400009,13,12.12,8.3,989.3,13.6,MuyAlta
100420,13.699997,-0.699997,15.2,10.81,6.73,1000.4,12.2,Moderada
100950,8.300003,7.199997,13.4,10.81,7.35,1006.9,11.6,Moderada
101000,2.300003,10.400009,10.9,7.69,6.16,1009.2,12.4,Moderada
100770,1.300003,11.900009,12,8.33,5.93,1007.1,13,Moderada
100200,-0.699997,12.400009,12.3,9.09,6.15,1002.7,13.1,Moderada
99570,8.5,7.900009,18.8,7.14,6.05,993.5,13.8,Moderada
100180,15.199997,-1.699997,14.3,8.33,6.22,997.9,10.6,Moderada
100840,13.5,1.800003,15.8,7.69,6.22,1005,10.4,Moderada
101330,13.5,2.100006,15.8,9.09,6.48,1010,9.5,MuyAlta
101630,11.300003,0.600006,14,10,7.47,1014,9.8,Moderada
101820,9.199997,0.800003,9.9,10.81,6.58,1016.6,9.7,Moderada
101850,9.400009,-1.199997,7.6,9.09,6.93,1017.2,9,Moderada
101850,6,-2.199997,9.7,9.09,6.13,1017.2,9.1,Media
101790,3.400009,-5.599991,8.9,9.09,6.78,1017.2,8.8,Media
101710,0.600006,-6.300003,3.8,7.69,6.25,1016.8,9,Baja
101610,1.699997,-6.300003,6.3,7.69,5.53,1016.2,8.8,Baja
101520,-2.099991,-3.899994,2,16,5.81,1015.1,8.9,Baja
101360,-2.899994,-3.5,3.2,6.67,5.71,1014.1,8.6,Baja
101160,-8.399994,-2.399994,5,16,6.79,1012.4,9.4,Baja
100670,-10.5,-0.399994,8.8,9.09,4.09,1009,10.6,Media
100130,-10.800003,2.300003,12.2,5.26,4.69,1004,11.8,Media
99430,-7.5,9.100006,12.4,6.25,4.96,995.4,11.6,Media
98750,-0.300003,13.800003,13.7,5.26,5.16,988.2,12.9,Media
98580,4.600006,9.800003,7.6,7.14,5.31,984.5,12.7,Media
98490,3.900009,9,10.8,7.14,5.7,983,12.7,Media
98470,2.199997,13.900009,12.9,7.69,6.44,983.5,12.3,MuyAlta
98440,-0.599991,16.699997,12.9,16,8.68,984.5,12.8,MuyAlta
98200,2.400009,17.900009,17.1,17.39,9.22,981.4,12.7,MuyAlta
98350,12,10.699997,15.3,17.39,10.14,980.3,12.4,MuyAlta
99110,17.300003,7,17.8,16,7.97,987.6,11.6,MuyAlta
99890,12.199997,6.5,13.9,12.9,8.58,995.4,11.9,MuyAlta
100350,8.400009,8.100006,8.3,13.79,7.64,1000.7,11.8,Moderada
100290,-1.5,8.100006,7.7,12.12,7.82,1003.2,11.8,Moderada
99330,-10.300003,8.199997,12.1,12.12,7.21,996.9,11.6,Moderada
99010,6.199997,8.600006,13.5,7.14,6.61,989.3,12,MuyAlta
99410,15.699997,8.900009,18.9,8.33,7.01,991.8,9.1,MuyAlta
99800,7.5,6.900009,9.3,10.81,7.23,996.3,9.7,Moderada
99660,0.300003,3.600006,5.6,9.09,7.12,996.6,8.2,Media
99280,-3.599991,-3.099991,5.9,8.33,6.49,993.8,7.8,Moderada
98730,0.600006,-13.300003,14.8,7.14,5.99,988.6,10.5,Moderada
98560,5.900009,-17.899994,18.2,7.14,6.2,987.6,10.3,MuyAlta
98650,5.5,-17.199997,18.2,8.33,6.86,987.3,11,MuyAlta
98840,-0.5,-15.399994,12.2,9.09,7.7,991.2,11.2,MuyAlta
99060,0,-11.899994,9.5,11.43,7.26,993.2,11.1,Moderada
99040,-2.199997,-12.599991,11.7,10,6.71,993.5,10.9,Moderada
99010,-0.5,-13.399994,11.8,9.09,6.39,992.4,10.5,Moderada
99040,0.600006,-12.5,12.3,9.09,6.51,992.1,10.7,Moderada
99200,3,-11.099991,13.4,9.09,5.79,992.7,11.4,Moderada
99400,3.300003,-9.300003,13.7,8.33,5.86,993.4,10.8,Moderada
99600,6.600006,-4.899994,13,7.69,5.68,994.3,9.7,Media
99760,7.400009,-3.300003,12.2,7.14,4.9,995.8,10.4,Media
99860,7.600006,1.300003,11,5.26,4.75,997.3,10.7,Baja
99790,2.400009,3,6.4,7.69,4.83,997.6,10.3,Baja
99570,2.800003,4.199997,2.8,11.43,5.71,996.1,9.9,Baja
99350,-1.5,3.100006,2.9,12.12,7.06,993.7,10.2,Baja
99120,-1.300003,3,4.5,12.12,7.85,991.3,10.3,Media
98900,-6.800003,2,6.2,14.81,9.49,989.4,10.2,Media
98560,-11.300003,-1.099991,8.8,12.9,8.03,988,10.3,Media
98110,-12.599991,-4.800003,13.1,12.12,5.95,985.2,10.3,Moderada
97890,-6,-4,18.8,5.88,5.79,979.2,9.3,Moderada
97840,-3.5,-0.3,8.8,8.33,6.43,978.1,11.4,Moderada
97920,-1.2,1.200001,8.1,10.81,7,978.7,11.1,Moderada
97970,2,-1,3.1,10.81,7.43,978.3,10.6,Moderada
98240,10.8,-3.799999,6.5,10.81,7.73,979.5,10.7,Moderada
98600,8.900002,-0.1,12.1,7.69,5.98,983.6,10.3,Moderada
98870,11.900002,1.6,11.7,11.43,6.29,987.1,9.2,Moderada
